FT00001,2025-04-12,2025-03-28,K006,LOC125,WT03,24,Low,Environmental Officer,Under Investigation,CASE2208,Yes,No,Yes,275.61,Pending
FT00002,2025-04-13,2025-04-09,K007,LOC028,WT07,28,High,Public Report,Resolved,CASE1930,Yes,No,No,144.52,Pending
FT00003,2025-04-14,2025-04-06,K003,LOC070,WT01,28,Medium,Law Enforcement,Under Investigation,CASE1084,No,Yes,No,93.34,Pending
FT00004,2025-04-15,2025-04-14,K002,LOC150,WT05,23,High,Environmental Officer,Resolved,CASE2022,Yes,No,No,313.36,Resolved
FT00005,2025-04-16,2025-04-02,K010,LOC185,WT08,9,High,Environmental Officer,Under Investigation,CASE1219,Yes,Yes,Yes,117.57,Resolved
FT00006,2025-04-17,2025-04-08,K005,LOC012,WT03,24,Low,Law Enforcement,Resolved,CASE1472,No,No,Yes,406.50,Resolved
FT00007,2025-04-18,2025-04-17,K012,LOC174,WT06,4,Medium,Law Enforcement,Resolved,CASE1242,Yes,No,Yes,231.20,Under Investigation
FT00008,2025-04-19,2025-04-17,K010,LOC145,WT01,9,Critical,Law Enforcement,Under Investigation,CASE0976,No,Yes,Yes,99.45,Pending
FT00009,2025-04-20,2025-04-12,K008,LOC172,WT06,20,Medium,Environmental Officer,Resolved,CASE1625,Yes,No,No,296.02,Pending
FT00010,2025-04-21,2025-04-15,K004,LOC149,WT05,9,Critical,Law Enforcement,Resolved,CASE0959,Yes,Yes,Yes,301.70,Under Investigation
FT00011,2025-04-22,2025-04-12,K008,LOC051,WT05,18,Medium,Law Enforcement,Resolved,CASE0615,No,Yes,No,418.57,Under Investigation
FT00012,2025-04-23,2025-04-21,K005,LOC135,WT07,11,High,Environmental Officer,Resolved,CASE0557,Yes,Yes,No,185.74,Resolved
FT00013,2025-04-24,2025-04-14,K012,LOC023,WT03,5,High,Public Report,Resolved,CASE1097,Yes,No,No,399.96,Under Investigation
FT00014,2025-04-25,2025-04-09,K010,LOC081,WT03,9,Low,Public Report,Under Investigation,CASE2335,Yes,No,Yes,194.19,Pending
FT00015,2025-04-26,2025-04-20,K011,LOC120,WT05,4,Critical,Environmental Officer,Under Investigation,CASE1899,No,No,No,167.58,Resolved
FT00016,2025-04-27,2025-04-09,K009,LOC124,WT06,2,Critical,Public Report,Resolved,CASE0931,Yes,No,Yes,179.73,Resolved
FT00017,2025-04-28,2025-04-16,K007,LOC165,WT03,21,High,Environmental Officer,Under Investigation,CASE1934,Yes,No,Yes,141.85,Under Investigation
FT00018,2025-04-29,2025-04-08,K008,LOC161,WT01,17,Critical,Public Report,Under Investigation,CASE0261,No,Yes,No,212.25,Pending
FT00019,2025-04-30,2025-04-23,K007,LOC097,WT06,2,High,Law Enforcement,Resolved,CASE2362,No,Yes,Yes,413.80,Pending
FT00020,2025-05-01,2025-04-12,K008,LOC039,WT07,3,Medium,Public Report,Resolved,CASE1145,Yes,No,Yes,29.13,Pending
FT00021,2025-05-02,2025-04-16,K007,LOC091,WT03,28,Medium,Environmental Officer,Resolved,CASE1818,No,Yes,No,171.96,Pending
FT00022,2025-05-03,2025-04-22,K001,LOC030,WT08,24,Critical,Law Enforcement,Resolved,CASE0949,No,Yes,No,51.00,Resolved
FT00023,2025-05-04,2025-04-26,K008,LOC016,WT08,8,Low,Environmental Officer,Under Investigation,CASE2473,No,Yes,Yes,141.70,Under Investigation
FT00024,2025-05-05,2025-04-22,K005,LOC121,WT03,18,Critical,Environmental Officer,Under Investigation,CASE0137,Yes,No,Yes,327.24,Resolved
FT00025,2025-05-06,2025-04-27,K006,LOC009,WT04,27,High,Law Enforcement,Under Investigation,CASE0924,No,No,No,48.89,Pending
FT00026,2025-05-07,2025-04-16,K005,LOC082,WT07,1,Medium,Public Report,Under Investigation,CASE2033,Yes,No,No,260.64,Under Investigation
FT00027,2025-05-08,2025-04-23,K004,LOC090,WT06,12,Critical,Public Report,Under Investigation,CASE1251,Yes,Yes,No,168.82,Resolved
FT00028,2025-05-09,2025-05-03,K011,LOC065,WT04,14,High,Law Enforcement,Resolved,CASE0865,Yes,No,No,33.98,Resolved
FT00029,2025-05-10,2025-04-28,K007,LOC009,WT02,3,Critical,Public Report,Resolved,CASE1554,No,Yes,No,180.41,Resolved
FT00030,2025-05-11,2025-04-29,K001,LOC126,WT08,14,High,Law Enforcement,Resolved,CASE0306,No,Yes,No,370.52,Resolved
FT00031,2025-05-12,2025-04-26,K011,LOC146,WT06,7,Medium,Law Enforcement,Resolved,CASE0274,No,No,Yes,168.00,Pending
FT00032,2025-05-13,2025-05-08,K011,LOC077,WT06,3,High,Public Report,Under Investigation,CASE1633,Yes,Yes,No,447.72,Pending
FT00033,2025-05-14,2025-05-02,K002,LOC167,WT05,29,High,Law Enforcement,Under Investigation,CASE0257,No,No,Yes,350.97,Pending
FT00034,2025-05-15,2025-04-26,K007,LOC161,WT02,9,Critical,Public Report,Resolved,CASE1334,Yes,Yes,Yes,267.47,Resolved
FT00035,2025-05-16,2025-04-23,K001,LOC065,WT08,3,Low,Public Report,Under Investigation,CASE1648,Yes,No,Yes,276.81,Pending
FT00036,2025-05-17,2025-05-12,K006,LOC124,WT04,24,Low,Environmental Officer,Resolved,CASE2166,Yes,Yes,Yes,498.64,Pending
FT00037,2025-05-18,2025-05-05,K002,LOC052,WT07,10,Critical,Law Enforcement,Resolved,CASE0715,No,No,Yes,148.63,Under Investigation
FT00038,2025-05-19,2025-05-17,K008,LOC121,WT02,12,Low,Law Enforcement,Under Investigation,CASE1829,Yes,Yes,No,280.90,Pending
FT00039,2025-05-20,2025-05-11,K004,LOC140,WT06,18,Medium,Law Enforcement,Resolved,CASE1394,No,Yes,Yes,327.94,Resolved
FT00040,2025-05-21,2025-04-30,K012,LOC051,WT08,24,Critical,Environmental Officer,Resolved,CASE2405,No,Yes,No,182.31,Under Investigation
FT00041,2025-05-22,2025-05-10,K010,LOC062,WT02,27,Medium,Law Enforcement,Under Investigation,CASE0647,No,No,Yes,270.74,Pending
FT00042,2025-05-23,2025-05-20,K009,LOC063,WT04,17,Low,Environmental Officer,Under Investigation,CASE1985,Yes,No,Yes,151.37,Pending
FT00043,2025-05-24,2025-05-20,K008,LOC112,WT06,3,High,Law Enforcement,Resolved,CASE1792,Yes,Yes,Yes,386.32,Pending
FT00044,2025-05-25,2025-05-04,K002,LOC183,WT03,16,High,Public Report,Resolved,CASE1159,Yes,Yes,Yes,391.64,Under Investigation
FT00045,2025-05-26,2025-05-13,K010,LOC046,WT03,1,Critical,Public Report,Under Investigation,CASE0261,No,No,No,112.00,Under Investigation
FT00046,2025-05-27,2025-05-17,K003,LOC032,WT08,8,Critical,Environmental Officer,Under Investigation,CASE1223,Yes,Yes,No,182.04,Pending
FT00047,2025-05-28,2025-05-11,K004,LOC014,WT04,2,Low,Public Report,Under Investigation,CASE2343,No,No,Yes,400.84,Pending
FT00048,2025-05-29,2025-05-15,K001,LOC076,WT08,28,Medium,Environmental Officer,Resolved,CASE0734,No,Yes,Yes,352.69,Under Investigation
FT00049,2025-05-30,2025-05-28,K006,LOC050,WT08,2,Medium,Environmental Officer,Resolved,CASE0401,Yes,No,Yes,471.72,Resolved
FT00050,2025-05-31,2025-05-09,K007,LOC066,WT02,17,High,Environmental Officer,Resolved,CASE1750,No,Yes,Yes,423.22,Under Investigation
FT00051,2025-06-01,2025-05-26,K010,LOC076,WT08,19,Low,Law Enforcement,Resolved,CASE0459,No,Yes,No,381.45,Resolved
FT00052,2025-06-02,2025-05-28,K001,LOC089,WT01,27,Medium,Environmental Officer,Under Investigation,CASE2406,Yes,Yes,No,419.08,Under Investigation
FT00053,2025-06-03,2025-05-18,K002,LOC104,WT04,26,Low,Environmental Officer,Resolved,CASE0338,Yes,Yes,No,491.01,Resolved
FT00054,2025-06-04,2025-05-13,K012,LOC147,WT04,10,High,Law Enforcement,Under Investigation,CASE2121,Yes,No,No,34.86,Pending
FT00055,2025-06-05,2025-05-27,K012,LOC041,WT04,2,Critical,Environmental Officer,Under Investigation,CASE2477,No,Yes,Yes,213.79,Resolved
FT00056,2025-06-06,2025-05-15,K010,LOC116,WT08,4,Critical,Environmental Officer,Under Investigation,CASE0461,No,No,Yes,342.95,Resolved
FT00057,2025-06-07,2025-05-15,K003,LOC131,WT03,2,Medium,Public Report,Under Investigation,CASE1941,Yes,No,Yes,430.43,Resolved
FT00058,2025-06-08,2025-06-03,K007,LOC159,WT07,8,Low,Public Report,Resolved,CASE1716,Yes,Yes,Yes,412.44,Under Investigation
FT00059,2025-06-09,2025-05-17,K003,LOC030,WT08,20,Low,Public Report,Under Investigation,CASE1259,Yes,Yes,Yes,401.86,Pending
FT00060,2025-06-10,2025-05-30,K007,LOC191,WT03,23,Medium,Public Report,Resolved,CASE0245,Yes,Yes,Yes,328.68,Pending
FT00061,2025-06-11,2025-06-07,K003,LOC073,WT02,24,High,Environmental Officer,Under Investigation,CASE1882,No,No,Yes,412.97,Resolved
