CASE0001,FT01763,2025-09-12,OFFO01,Yes,Yes,Yes,Warning,Closed
CASE0002,FT04063,2025-05-10,OFFO02,Yes,No,No,Investigation,Open
CASE0003,FT05737,2025-05-03,OFFO03,Yes,No,Yes,Investigation,Open
CASE0004,FT17275,2025-05-11,OFFO04,No,Yes,No,Warning,Closed
CASE0005,FT06574,2026-07-12,OFFO05,Yes,Yes,Yes,Investigation,Open
CASE0006,FT12316,2026-04-30,OFFO06,Yes,No,No,Warning,Closed
CASE0007,FT07835,2026-06-25,OFFO07,Yes,Yes,No,Warning,Closed
CASE0008,FT06129,2026-04-03,OFFO08,Yes,No,Yes,Investigation,Open
CASE0009,FT10039,2026-03-11,OFFO09,No,No,Yes,Investigation,Open
CASE0010,FT00109,2025-07-29,OFFO10,Yes,Yes,Yes,Investigation,Open
CASE0011,FT11991,2026-02-04,OFFO01,No,No,No,Investigation,Open
CASE0012,FT12660,2026-02-18,OFFO02,Yes,Yes,Yes,Investigation,Open
CASE0013,FT08924,2025-05-30,OFFO03,Yes,Yes,No,Warning,Closed
CASE0014,FT13278,2026-02-26,OFFO04,Yes,No,Yes,Investigation,Open
CASE0015,FT11748,2026-04-30,OFFO05,Yes,Yes,Yes,Fined,Closed
CASE0016,FT14887,2026-02-14,OFFO06,Yes,Yes,No,Investigation,Open
CASE0017,FT03019,2025-07-15,OFFO07,No,Yes,Yes,Fined,Closed
CASE0018,FT01346,2025-07-13,OFFO08,No,Yes,No,Fined,Closed
CASE0019,FT17039,2026-01-19,OFFO09,No,No,No,Investigation,Open
CASE0020,FT03113,2026-06-13,OFFO10,No,Yes,No,Fined,Closed
CASE0021,FT03188,2025-10-24,OFFO01,No,No,Yes,Investigation,Open
CASE0022,FT00338,2026-03-15,OFFO02,No,No,No,Investigation,Open
CASE0023,FT05984,2025-09-18,OFFO03,No,No,Yes,Warning,Closed
CASE0024,FT16623,2026-01-16,OFFO04,No,Yes,Yes,Fined,Closed
CASE0025,FT02703,2025-07-21,OFFO05,Yes,No,No,Investigation,Open
CASE0026,FT18632,2025-09-16,OFFO06,Yes,No,No,Fined,Closed
CASE0027,FT03245,2026-04-25,OFFO07,Yes,No,No,Warning,Closed
CASE0028,FT11389,2025-10-02,OFFO08,No,No,Yes,Investigation,Open
CASE0029,FT17783,2026-07-18,OFFO09,Yes,Yes,Yes,Fined,Closed
CASE0030,FT16897,2025-10-19,OFFO10,No,No,No,Warning,Closed
CASE0031,FT13555,2026-03-22,OFFO01,Yes,No,Yes,Warning,Closed
CASE0032,FT06277,2026-07-21,OFFO02,Yes,Yes,Yes,Fined,Closed
CASE0033,FT07978,2025-10-19,OFFO03,Yes,No,No,Fined,Closed
CASE0034,FT04199,2025-06-03,OFFO04,No,No,No,Warning,Closed
